state,district,year,data_value,well_depth,data_time,unit
West Bengal,Alipurduar,2023,7.53,10.0,2023-04-30T10:00:00,m
West Bengal,Bankura,2012,3.86,18.08,2011-11-07T06:00:00,m
West Bengal,Bankura,2013,8.24,12.9,2012-11-07T06:00:00,m
West Bengal,Bankura,2014,2.04,10.3,2013-11-07T06:00:00,m
West Bengal,Bankura,2015,4.9,10.3,2014-11-07T06:00:00,m
West Bengal,Bankura,2016,6.16,10.3,2015-11-07T06:00:00,m
West Bengal,Bankura,2017,5.03,10.3,2016-11-07T06:00:00,m
West Bengal,Bankura,2018,4.3,10.3,2017-11-07T06:00:00,m
West Bengal,Bankura,2019,0.57,12.9,2019-08-29T06:00:00,m
West Bengal,Bankura,2020,4.89,10.3,2019-11-14T06:00:00,m
West Bengal,Bankura,2021,9.5,10.3,2020-11-30T00:00:00,m
West Bengal,Bankura,2022,3.84,9.85,2022-01-30T07:00:00,m
West Bengal,Bankura,2023,-5.64,139.0,2023-01-11T15:51:00,m
West Bengal,Bankura,2024,-5.226,150.0,2024-01-22T00:00:00,m
West Bengal,Birbhum,2012,1.65,10.0,2011-11-07T06:00:00,m
West Bengal,Birbhum,2013,0.9,10.0,2012-11-07T06:00:00,m
West Bengal,Birbhum,2014,0.8,10.0,2013-11-07T06:00:00,m
West Bengal,Birbhum,2015,0.47,10.0,2015-04-17T06:00:00,m
West Bengal,Birbhum,2016,1.6,10.0,2015-11-07T06:00:00,m
West Bengal,Birbhum,2017,1.6,10.0,2016-11-07T06:00:00,m
West Bengal,Birbhum,2018,0.34,10.0,2018-01-12T06:00:00,m
West Bengal,Birbhum,2019,10.0,10.0,2019-01-09T06:00:00,m
West Bengal,Birbhum,2020,14.44,10.0,2019-11-15T06:00:00,m
West Bengal,Birbhum,2021,0.8,10.0,2021-01-10T00:00:00,m
West Bengal,Birbhum,2022,24.09,10.0,2021-11-30T06:00:00,m
West Bengal,Birbhum,2023,-13.81,53.0,2023-04-02T06:00:00,m
West Bengal,Birbhum,2024,-23.82,150.0,2024-01-28T00:00:00,m
West Bengal,Hooghly,2019,3.21,18.59,2019-04-03T06:00:00,m
West Bengal,Hooghly,2020,0.92,7.1,2019-11-15T06:00:00,m
West Bengal,Hooghly,2021,0.67,7.1,2020-11-30T00:00:00,m
West Bengal,Hooghly,2022,15.58,0.0,2022-08-30T06:00:00,m
West Bengal,Hooghly,2023,1.5,7.1,2022-11-30T06:00:00,m
West Bengal,Howrah,2012,1.14,9.0,2011-11-07T06:00:00,m
West Bengal,Howrah,2013,0.97,9.0,2012-11-07T06:00:00,m
West Bengal,Howrah,2014,0.37,9.0,2013-11-07T06:00:00,m
West Bengal,Howrah,2015,1.32,9.0,2015-01-07T06:00:00,m
West Bengal,Howrah,2016,2.22,,2015-11-07T06:00:00,m
West Bengal,Howrah,2017,2.7,8.6,2016-11-07T06:00:00,m
West Bengal,Howrah,2018,2.47,8.6,2018-01-13T06:00:00,m
West Bengal,Howrah,2019,1.85,8.6,2018-11-24T00:00:00,m
West Bengal,Howrah,2020,0.92,8.6,2019-11-15T06:00:00,m
West Bengal,Howrah,2021,0.41,13.0,2020-11-30T00:00:00,m
West Bengal,Howrah,2022,0.58,99.0,2021-11-30T06:00:00,m
West Bengal,Howrah,2023,1.39,4.0,2023-04-30T10:00:00,m
West Bengal,Jalpaiguri,2012,2.77,5.96,2011-11-07T06:00:00,m
West Bengal,Jalpaiguri,2013,2.93,,2013-01-07T06:00:00,m
West Bengal,Jalpaiguri,2014,2.0,,2013-11-07T06:00:00,m
West Bengal,Jalpaiguri,2015,2.8,,2014-11-07T06:00:00,m
West Bengal,Jalpaiguri,2016,2.4,,2015-11-07T06:00:00,m
West Bengal,Jalpaiguri,2017,6.53,8.78,2016-11-07T06:00:00,m
West Bengal,Jalpaiguri,2018,5.15,8.78,2017-11-07T06:00:00,m
West Bengal,Jalpaiguri,2019,4.5,8.78,2018-11-25T00:00:00,m
West Bengal,Jalpaiguri,2020,8.0,8.78,2019-11-15T06:00:00,m
West Bengal,Jalpaiguri,2021,8.65,8.78,2020-11-30T00:00:00,m
West Bengal,Jalpaiguri,2022,1.4,9.49,2021-11-30T06:00:00,m
West Bengal,Jalpaiguri,2023,2.92,,2023-01-30T10:00:00,m
West Bengal,Jhargram,2012,2.22,15.0,2011-11-07T06:00:00,m
West Bengal,Jhargram,2013,4.44,15.0,2012-11-07T06:00:00,m
West Bengal,Jhargram,2014,1.13,15.0,2013-11-07T06:00:00,m
West Bengal,Jhargram,2015,4.6,15.0,2015-01-07T06:00:00,m
West Bengal,Jhargram,2016,7.55,15.0,2015-11-07T06:00:00,m
West Bengal,Jhargram,2017,2.66,15.0,2016-11-07T06:00:00,m
West Bengal,Jhargram,2018,3.88,15.0,2017-11-07T06:00:00,m
West Bengal,Jhargram,2019,6.25,15.0,2018-11-30T00:00:00,m
West Bengal,Jhargram,2020,3.86,15.0,2019-11-21T06:00:00,m
West Bengal,Jhargram,2021,7.55,15.0,2021-01-10T00:00:00,m
West Bengal,Jhargram,2022,2.29,15.0,2021-11-30T06:00:00,m
West Bengal,Jhargram,2023,7.59,7.86,2023-04-30T10:00:00,m
West Bengal,Jhargram,2024,-15.425,76.5,2024-04-17T00:00:00,m
West Bengal,Kolkata,2023,-9.46,251.4,2023-01-03T18:00:00,m
West Bengal,Kolkata,2024,-18.01,,2024-10-01T00:00:00,m
West Bengal,Murshidabad,2012,4.51,100.0,2011-11-07T06:00:00,m
